Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
18-Feb-23,329,4,VIC,VRC,FLEM,THE ELMS HANDICAP,1400,"175,000",O,O,Hcp,VRC MARCH STAKES
19-Feb-23,500,4,TAS,TTC,LAUN,TASMANIAN OAKS,2100,"150,000",3-Y-O,F,SW,TASMANIAN OAKS
22-Feb-23,41,3,TAS,TTC,LAUN,LAUNCESTON CUP,2400,"250,000",O,O,Hcp,LAUNCESTON CUP
22-Feb-23,709,3,TAS,TTC,LAUN,VAMOS STAKES,1400,"150,000",3YO&Up,F&M,WFA,VAMOS STAKES
22-Feb-23,374,4,TAS,TTC,LAUN,MOWBRAY STAKES,1600,"125,000",O,O,WFA,MOWBRAY STAKES
25-Feb-23,724,4,WA,WATC,ASCT,ASCOT 1000 GUINEAS,1800,"125,000",3-Y-O,F,SWP,WATC ASCOT 1000 GUINEAS
25-Feb-23,635,4,WA,WATC,ASCT,LEX PIPER STAKES,1600,"125,000",3-Y-O,C&G,SWP,TJ SMITH TROPHY
25-Feb-23,541,3,SA,SAJC,MORP,LORD REIMS STAKES,2600,"127,250",O,O,SWP,LORD REIMS STAKES
25-Feb-23,551,4,QLD,TATTS RC QLD,E FM,TATTERSALL'S QUEENSLAND MILE,1600,"125,000",O,O,Qlty,TATTERSALL'S RACING CLUB OPEN
25-Feb-23,596,4,WA,WATC,ASCT,DETONATOR STAKES,1800,"125,000",3YO&Up,O,SWP,DETONATOR HCP
25-Feb-23,195,1,NSW,ATC,RAND,CHIPPING NORTON STAKES,1600,"600,000",3YO&Up,O,WFA,CHIPPING NORTON STAKES
25-Feb-23,493,1,NSW,ATC,RAND,SURROUND STAKES,1400,"600,000",3-Y-O,F,SW,SURROUND STAKES
25-Feb-23,628,2,NSW,ATC,RAND,GUY WALTER STAKES,1400,"250,000",4YO&Up,M,SWP,GUY WALTER STAKES
25-Feb-23,468,2,NSW,ATC,RAND,SKYLINE STAKES,1200,"250,000",2-Y-O,C&G,SW,SKYLINE STAKES
25-Feb-23,494,2,NSW,ATC,RAND,SWEET EMBRACE STAKES,1200,"250,000",2-Y-O,F,SW,SWEET EMBRACE STAKES
25-Feb-23,336,3,NSW,ATC,RAND,LIVERPOOL CITY CUP,1300,"200,000",3YO&Up,O,Qlty,LIVERPOOL CITY CUP
25-Feb-23,21,1,VIC,MRC,SAND,BLUE DIAMOND STAKES,1200,"1,500,000",2-Y-O,O,SW,BLUE DIAMOND STAKES
25-Feb-23,17,1,VIC,MRC,SAND,FUTURITY STAKES,1400,"750,000",O,O,WFA,FUTURITY STAKES
25-Feb-23,387,1,VIC,MRC,SAND,OAKLEIGH PLATE,1100,"750,000",O,O,Hcp,OAKLEIGH PLATE
25-Feb-23,518,2,VIC,MRC,SAND,ANGUS ARMANASCO STAKES,1400,"300,000",3-Y-O,F,SW,ANGUS ARMANASCO STAKES
25-Feb-23,180,2,VIC,MRC,SAND,CAULFIELD AUTUMN CLASSIC,1800,"300,000",3-Y-O,O,SW,CAULFIELD AUTUMN CLASSIC
25-Feb-23,474,2,VIC,MRC,SAND,PETER YOUNG STAKES,1800,"300,000",O,O,WFA,PETER YOUNG STAKES
25-Feb-23,562,3,VIC,MRC,SAND,MANNERISM STAKES,1400,"200,000",4YO&Up,M,SWP,MANNERISM STAKES
25-Feb-23,563,3,VIC,MRC,SAND,ZEDITAVE STAKES,1200,"200,000",3-Y-O,O,SWP,ZEDITAVE STAKES
25-Feb-23,665,4,VIC,MRC,SAND,MORNINGTON CUP PRELUDE,2000,"175,000",O,O,Qlty,MORNINGTON CUP PRELUDE
26-Feb-23,701,4,WA,PINJ,PINJ,PINJARRA CLASSIC,1300,"150,000",3YO&Up,O,Qlty,PINJARRA STKS
3-Mar-23,169,3,NSW,NCLE,NCLE,NEWCASTLE NEWMARKET HCP,1400,"200,000",O,O,Qlty,NEWCASTLE NEWMARKET HCP
4-Mar-23,164,1,NSW,ATC,RAND,RANDWICK GUINEAS,1600,"1,000,000",3-Y-O,O,SW,RANDWICK GUINEAS
4-Mar-23,165,1,NSW,ATC,RAND,CANTERBURY STAKES,1300,"600,000",3YO&Up,O,WFA,CANTERBURY STAKES
4-Mar-23,186,2,NSW,ATC,RAND,CHALLENGE STAKES,1000,"500,000",3YO&Up,O,WFA,ATC CHALLENGE STAKES
4-Mar-23,428,2,NSW,ATC,RAND,REISLING STAKES,1200,"300,000",2-Y-O,F,SW,REISLING STAKES
4-Mar-23,511,2,NSW,ATC,RAND,TODMAN STAKES,1200,"300,000",2-Y-O,C&G,SW,TODMAN STAKES
4-Mar-23,674,3,NSW,ATC,RAND,ASPIRATION QUALITY,1600,"200,000",3YO&Up,F&M,Qlty,ASPIRATION QUALITY
4-Mar-23,675,3,NSW,ATC,RAND,WENONA GIRL QUALITY,1200,"200,000",4YO&Up,M,Qlty,WENONA GIRL QUALITY
4-Mar-23,725,4,NSW,ATC,RAND,FIREBALL STAKES,1100,"160,000",3-Y-O,O,SWP,FIREBALL STAKES
4-Mar-23,163,4,NSW,ATC,RAND,RANDWICK CITY STAKES,2000,"160,000",3YO&Up,O,Qlty,RANDWICK CITY STAKES
4-Mar-23,123,1,VIC,VRC,FLEM,AUSTRALIAN GUINEAS,1600,"1,000,000",3-Y-O,O,SW,AUSTRALIAN GUINEAS
4-Mar-23,147,2,VIC,VRC,FLEM,BLAMEY STAKES,1600,"300,000",3YO&Up,O,SWP,BLAMEY STAKES
4-Mar-23,265,3,VIC,VRC,FLEM,FRANCES TRESSADY STAKES,1400,"200,000",3YO&Up,F&M,SWP,FRANCES TRESSADY STAKES
4-Mar-23,154,4,VIC,VRC,FLEM,BOB HOYSTED STAKES,1000,"175,000",4YO&Up,O,Hcp,BOB HOYSTED STAKES
4-Mar-23,223,4,VIC,VRC,FLEM,FESTIVAL OF RACING STAKES,1000,"175,000",2-Y-O,O,SWP,FLEMINGTON FESTIVAL OF RACING STAKES
10-Mar-23,668,3,NSW,KEMB,KEMB,KEITH F NOLAN CLASSIC,1600,"200,000",3-Y-O,F,SWP,KEMBLA GRANGE CLASSIC
11-Mar-23,156,4,WA,BUNB,BUNB,BUNBURY CUP,2000,"150,000",3YO&Up,O,Qlty,BUNBURY CUP
11-Mar-23,157,4,WA,BUNB,BUNB,BUNBURY STAKES,1400,"150,000",3YO&Up,O,Qlty,BUNBURY STKS
11-Mar-23,391,1,NSW,ATC,RHIL,COOLMORE CLASSIC,1500,"600,000",3YO&Up,F&M,Qlty,TAD KENNEDY STAKES
11-Mar-23,233,2,NSW,ATC,RHIL,AJAX STAKES,1500,"250,000",3YO&Up,O,Qlty,AJAX STAKES
11-Mar-23,401,2,NSW,ATC,RHIL,PHAR LAP STAKES,1500,"250,000",3-Y-O,O,SW,PHAR LAP STAKES
11-Mar-23,598,3,NSW,ATC,RHIL,SKY HIGH STAKES,2000,"350,000",3YO&Up,O,SWP,SKY HIGH STAKES
11-Mar-23,342,3,NSW,ATC,RHIL,MAGIC NIGHT STAKES,1200,"200,000",2-Y-O,F,SW,MAGIC NIGHT STAKES
11-Mar-23,396,3,NSW,ATC,RHIL,PAGO PAGO STAKES,1200,"200,000",2-Y-O,C&G,SW,PAGO PAGO STAKES
11-Mar-23,603,3,NSW,ATC,RHIL,MAURICE McCARTEN STAKES,1100,"200,000",3YO&Up,O,Qlty,MAURICE McCARTEN STAKES
11-Mar-23,12,1,VIC,VRC,FLEM,NEWMARKET HANDICAP,1200,"1,500,000",O,O,Hcp,VRC NEWMARKET HANDICAP
11-Mar-23,322,2,VIC,VRC,FLEM,A.V KEWNEY STAKES,1400,"300,000",3-Y-O,F,SW,A.V KEWNEY STAKES
11-Mar-23,9,2,VIC,VRC,FLEM,VRC SIRES' PRODUCE STAKES,1400,"300,000",2-Y-O,O,SW,VRC SIRES' PRODUCE STAKES
11-Mar-23,357,3,VIC,VRC,FLEM,SHAFTESBURY AVENUE HCP,1400,"200,000",O,O,Hcp,SHAFTESBURY AVENUE HCP
11-Mar-23,606,3,VIC,VRC,FLEM,MATRON STAKES,1600,"200,000",3YO&Up,F&M,SWP,MATRON STAKES
11-Mar-23,148,3,VIC,VRC,FLEM,THOROUGHBRED BREEDERS STAKES,1200,"200,000",2-Y-O,F,SWP,THOROUGHBRED BREEDERS ST.
12-Mar-23,149,4,WA,WATC,ASCT,J.C. ROBERTS STAKES,1800,"125,000",3-Y-O,C&G,SWP,J.C. ROBERTS STKS
