Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
17-Dec-22,288,3,QLD,BRC,E FM,GRAND PRIX STAKES,2200,"150,000",3-Y-O,O,SW,GRAND PRIX STAKES
17-Dec-22,235,4,QLD,BRC,E FM,LOUGH NEAGH STAKES,1400,"150,000",O,O,Qlty,LOUGH NEAGH STAKES
17-Dec-22,900,4,VIC,VRC,FLEM,JAPAN TROPHY,2600,"150,000",3YO&Up,O,Qlty,JAPAN TROPHY
17-Dec-22,732,4,QLD,BRC,E FM,GOLD EDITION PLATE,1200,"125,000",3-Y-O,O,SW,GOLD EDITION PLATE
17-Dec-22,213,2,WA,WATC,ASCT,TED VAN HEEMST STAKES,2100,"250,000",3YO&Up,O,WFA,C B COX STKS
17-Dec-22,614,4,WA,WATC,ASCT,STARSTRUCK CLASSIC,1600,"125,000",3YO&Up,F&M,SWP,STARSTRUCK CLASSIC
24-Dec-22,558,3,QLD,BRC,DOOM,BJ MCLACHLAN STAKES,1200,"250,000",2-Y-O,O,SW,BJ MCLACHLAN STAKES
24-Dec-22,142,4,QLD,BRC,DOOM,BERNBOROUGH HANDICAP,1600,"200,000",O,O,SWP,BERNBOROUGH HANDICAP
24-Dec-22,681,4,QLD,BRC,DOOM,FALVELON QUALITY,1200,"150,000",O,O,Qlty,FALVELON QUALITY
24-Dec-22,118,4,WA,WATC,ASCT,A.T.A. STAKES,2200,"125,000",3UP,O,Hcp,A.T.A STAKES
26-Dec-22,488,3,NSW,ATC,RAND,SUMMER CUP,2000,"200,000",3YO&Up,O,Qlty,SUMMER CUP
26-Dec-22,198,4,VIC,MRC,SAND,CHRISTMAS STAKES,1200,"175,000",O,O,Hcp,CHRISTMAS STAKES
26-Dec-22,311,4,VIC,MRC,SAND,LORD STAKES,1700,"175,000",O,O,Hcp,LORD STAKES
28-Dec-22,134,3,NSW,GOSF,GOSF,BELLE OF THE TURF STAKES,1600,"200,000",3YO&Up,F&M,Qlty,BELLE OF THE TURF STAKES
28-Dec-22,285,4,NSW,GOSF,GOSF,GOSFORD GUINEAS,1200,"160,000",3-Y-O,O,SWP,GOSFORD GUINEAS
31-Dec-22,705,3,QLD,BRC,DOOM,VO ROGUE PLATE,1400,"300,000",3-Y-O,O,SW,VO ROGUE PLATE
31-Dec-22,706,4,QLD,BRC,DOOM,NUDGEE QUALITY,1200,"200,000",O,F&M,SWP,NUDGEE QUALITY
1-Jan-23,44,2,WA,WATC,ASCT,PERTH CUP,2400,"400,000",3YO&Up,O,Qlty,PERTH CUP
1-Jan-23,699,3,WA,WATC,ASCT,LA TRICE CLASSIC,1800,"150,000",3YO&Up,F&M,SWP,LA TRICE CLASSIC
1-Jan-23,700,4,WA,WATC,ASCT,SUMMER SCORCHER,1000,"125,000",3YO&Up,O,Qlty,SUMMER SCORCHER
1-Jan-23,125,4,VIC,VRC,FLEM,BAGOT HANDICAP,2800,"200,000",O,O,Hcp,BAGOT HANDICAP
1-Jan-23,194,4,VIC,VRC,FLEM,CHESTER MANIFOLD STAKES,1400,"175,000",O,O,Hcp,CHESTER MANIFOLD STAKES
6-Jan-23,499,4,TAS,TTC,HOB,TASMANIAN GUINEAS,1600,"125,000",3-Y-O,O,SW,TASMANIAN GUINEAS
6-Jan-23,501,4,TAS,TRC,HOB,TASMANIAN STAKES,1600,"100,000",O,O,WFA,TASMANIAN STAKES
6-Jan-23,621,4,NSW,ATC,CANT,CHRISTMAS CLASSIC,1200,"160,000",3YO&Up,O,Qlty,CHRISTMAS CLASSIC
7-Jan-23,502,4,NSW,ATC,RHIL,JANUARY CUP,2000,"160,000",3YO&Up,O,Qlty,TATTERSALLS CLUB CUP
14-Jan-23,749,RL,QLD,GCST,GCTC,MAGIC MILLIONS 2YO CLASSIC,1200,"2,000,000",2-Y-O,O,SW,MAGIC MILLIONS 2YO CLASSIC
14-Jan-23,750,RL,QLD,GCST,GCTC,MAGIC MILLIONS 3YO GUINEAS,1400,"2,000,000",3-Y-O,O,SWP,MAGIC MILLIONS 3YO GUINEAS
14-Jan-23,770,RL,QLD,GCST,GCTC,MAGIC MILLIONS CUP,1400,"1,000,000",O,O,Qlty,MAGIC MILLIONS CUP
14-Jan-23,633,4,WA,WATC,ASCT,MISS ANDRETTI STAKES,1100,"125,000",3YO&Up,O,Qlty,RUABON SPRINT
14-Jan-23,480,3,VIC,VRC,FLEM,STANDISH HANDICAP,1200,"200,000",O,O,Hcp,STANDISH HANDICAP
21-Jan-23,175,4,NSW,ATC,RAND,CARRINGTON STAKES,1400,"160,000",3YO&Up,O,Qlty,CARRINGTON STAKES
22-Jan-23,497,4,TAS,TRC,HOB,ELWICK 2YO STAKES,1100,"100,000",2-Y-O,O,SW,ELWICK STAKES
25-Jan-23,608,4,TAS,TRC,LAUN,LAUNCESTON GUINEAS,2100,"100,000",3-Y-O,O,SW,LAUNCESTON GUINEAS
25-Jan-23,448,3,VIC,MRC,SAND,BLUE DIAMOND PREVIEW (F),1000,"200,000",2-Y-O,F,SWP,BLUE DIAMOND PREVIEW FILLY
26-Jan-23,109,4,NSW,ATC,WFARM,AUSTRALIA DAY CUP,2400,"160,000",3YO&Up,O,Qlty,AUSTRALIA DAY CUP
26-Jan-23,447,4,VIC,MRC,SAND,BLUE DIAMOND PREVIEW (C&G),1000,"200,000",2-Y-O,C&G,SWP,BLUE DIAMOND PREVIEW C&G
26-Jan-23,130,4,VIC,MRC,SAND,JOHN DILLON STAKES,1400,"175,000",O,O,Hcp,BARTON STAKES
26-Jan-23,303,4,VIC,MRC,SAND,W. J. (BILL) ADAMS STAKES,1000,"175,000",O,O,Hcp,W J ADAMS STAKES
28-Jan-23,372,4,SA,SAJC,MORP,DURBRIDGE STAKES,1100,"107,250",O,O,WFA,DURBRIDGE STAKES
28-Jan-23,679,4,QLD,SCST,SCST,SUNSHINE COAST CUP,1400,"125,000",O,O,SW,SUNSHINE COAST CUP
28-Jan-23,122,4,WA,WATC,ASCT,SCENIC BLAST STAKES,1200,"125,000",3YO&Up,O,Qlty,AUSTRALIA DAY STKS
28-Jan-23,254,2,NSW,ATC,RHIL,EXPRESSWAY STAKES,1200,"250,000",3YO&Up,O,WFA,EXPRESSWAY STAKES
28-Jan-23,162,3,NSW,ATC,RHIL,CANONBURY STAKES,1100,"200,000",2-Y-O,C&G,SWP,CANONBURY STAKES
28-Jan-23,542,3,NSW,ATC,RHIL,WIDDEN STAKES,1100,"200,000",2-Y-O,F,SWP,WIDDEN STAKES
28-Jan-23,559,2,VIC,MVRC,THE VALLEY,AUSTRALIA STAKES,1200,"300,000",O,O,WFA,STANLEY WOOTTON STAKES
29-Jan-23,734,4,WA,BUNB,BUNB,WESTERN AUSTRALIAN BREEDERS' CLASSIC,1400,"125,000",3-Y-O,O,SWP,SOUTH WEST BREEDERS' CLASSIC
4-Feb-23,251,3,NSW,ATC,RAND,ESKIMO PRINCE STAKES,1200,"200,000",3-Y-O,O,SWP,ESKIMO PRINCE STKS
4-Feb-23,962,4,NSW,ATC,RAND,LONHRO PLATE,1100,"160,000",2-Y-O,O,SWP,LONHRO PLATE
4-Feb-23,942,RL,NSW,ATC,RAND,INGLIS MILLENNIUM,1200,"2,000,000",2-Y-O,O,SW,INGLIS MILLENNIUM
4-Feb-23,584,3,VIC,MRC,SAND,CHAIRMAN'S STAKES,1000,"200,000",2-Y-O,O,SWP,MRC CHAIRMAN'S STAKES
4-Feb-23,452,3,VIC,MRC,SAND,MANFRED STAKES,1200,"200,000",3-Y-O,O,SWP,MANFRED STAKES
5-Feb-23,282,4,TAS,TTC,LAUN,GOLD SOVEREIGN STAKES,1200,"150,000",2-Y-O,O,SW,GOLD SOVEREIGN STAKES
10-Feb-23,692,3,TAS,TRC,HOB,BOW MISTRESS TROPHY,1200,"150,000",3YO&Up,F&M,WFA,BOW MISTRESS TROPHY
10-Feb-23,498,4,TAS,TRC,HOB,TASMANIAN DERBY,2200,"150,000",3-Y-O,O,SW,TASMANIAN DERBY
10-Feb-23,487,4,TAS,TRC,HOB,STRUTT STAKES,2100,"100,000",3-Y-O,F,SW,STRUTT STAKES
11-Feb-23,185,4,WA,WATC,ASCT,CHALLENGE STAKES,1500,"125,000",3-Y-O,O,SWP,WATC CHALLENGE STKS
11-Feb-23,31,4,SA,SAJC,MORP,PREMIER'S PLATE,2000,"107,250",O,O,Qlty,BIRTHDAY CUP
11-Feb-23,220,4,WA,WATC,ASCT,CYRIL FLOWER STAKES,1200,"125,000",3YO&Up,O,Qlty,CYRIL FLOWER STKS
11-Feb-23,112,2,NSW,ATC,RAND,APOLLO STAKES,1400,"250,000",3YO&Up,O,WFA,APOLLO STAKES
11-Feb-23,330,2,NSW,ATC,RAND,LIGHT FINGERS STAKES,1200,"200,000",3-Y-O,F,SW,LIGHT FINGERS STAKES
11-Feb-23,268,3,NSW,ATC,RAND,SOUTHERN CROSS STAKES,1200,"200,000",3YO&Up,O,Qlty,SOUTHERN CROSS STAKES
11-Feb-23,629,3,NSW,ATC,RAND,TRISCAY STAKES,1200,"200,000",4YO&Up,M,Qlty,TRISCAY STAKES
11-Feb-23,393,1,VIC,MRC,SAND,C.F. ORR STAKES,1400,"750,000",O,O,WFA,C.F. ORR STAKES
11-Feb-23,124,2,VIC,MRC,SAND,AUTUMN STAKES,1400,"300,000",3-Y-O,O,SWP,AUTUMN STAKES
11-Feb-23,179,2,VIC,MRC,SAND,BLUE DIAMOND PRELUDE (F),1100,"300,000",2-Y-O,F,SW,BLUE DIAMOND PRELUDE FLLY
11-Feb-23,576,2,VIC,MRC,SAND,RUBITON STAKES,1100,"300,000",O,O,SWP,RUBITON STAKES
11-Feb-23,178,3,VIC,MRC,SAND,BLUE DIAMOND PRELUDE (C&G),1100,"300,000",2-Y-O,C&G,SW,BLUE DIAMOND PRELUDE C&G
