,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2023/24),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name,,,
7-Oct-23,244,G2,VIC,VRC,FLEM,TAB EDWARD MANIFOLD STAKES,"1,600","301,700",3-Y-O,F,SW,EDWARD MANIFOLD STAKES,,,
7-Oct-23,442,G2,VIC,VRC,FLEM,GILGAI STAKES,"1,200","301,700",O,O,SWP,BAGUETTE STAKES,,,
7-Oct-23,590,G2,VIC,VRC,FLEM,FURPHY ROSE OF KINGSTON STAKES,"1,400","301,700",4YO&Up,M,SWP,ROSE OF KINGSTON STAKES,,,
7-Oct-23,713,G3,VIC,VRC,FLEM,THE LEXUS BART CUMMINGS,"2,500","501,300",O,O,Qlty,THE BART CUMMINGS,,,
7-Oct-23,346,L,VIC,VRC,FLEM,DARLEY MARIBYRNONG TRIAL STAKES,"1,000","176,000",2-Y-O,O,SW,MARIBYRNONG TRIAL STAKES,,,
7-Oct-23,638,L,VIC,VRC,FLEM,KATHERINE BOURKE PARIS LANE STAKES,"1,400","176,000",4YO&Up,O,Hcp,PARIS LANE STAKES,,,
7-Oct-23,712,L,VIC,VRC,FLEM,ABC BULLION SUPER IMPOSE PLATE,"1,800","176,000",3-Y-O,O,SWP,SUPER IMPOSE PLATE,,,
14-Oct-23,203,G3,NSW,ATC,RAND,SYDNEY STAKES,"1,200","2,000,000",3YO&Up,O,WFA,CITY TATT'S LIGHTNING,,,
14-Oct-23,276,G1,NSW,ATC,RAND,KING CHARLES III STAKES,"1,600","5,000,000",3YO&Up,O,WFA,GEORGE MAIN STAKES,,,
14-Oct-23,281,G3,NSW,ATC,RAND,GLOAMING STAKES,"1,800","500,000",3-Y-O,O,SW,GLOAMING STAKES,,,
14-Oct-23,427,L,NSW,ATC,RAND,REGINALD ALLEN QLTY HCP,"1,400","200,000",3-Y-O,F,Qlty,REGINALD ALLEN QUALITY,,,
14-Oct-23,618,G3,NSW,ATC,RAND,ANGST STAKES,"1,600","250,000",4YO&Up,M,SWP,ANGST STAKES,,,
14-Oct-23,11,G1,VIC,MRC,CAUL,NEDS CAULFIELD GUINEAS,"1,600","3,008,500",3-Y-O,O,SW,CAULFIELD GUINEAS,,,
14-Oct-23,181,G1,VIC,MRC,CAUL,NEDS MIGHT AND POWER,"2,000","1,002,750",3YO&Up,O,WFA,CAULFIELD STAKES,,,
14-Oct-23,245,G1,VIC,MRC,CAUL,HYLAND RACE COLOURS TOORAK HANDICAP,"1,600","1,002,750",O,O,Hcp,TOORAK HANDICAP,,,
14-Oct-23,305,G2,VIC,MRC,CAUL,NEDS HERBERT POWER STAKES,"2,400","301,000",O,O,Qlty,HERBERT POWER STAKES,,,
14-Oct-23,196,G2,VIC,MRC,CAUL,LEXUS SCHILLACI STAKES,"1,100","301,000",3YO&Up,O,WFA,SCHILLACI STAKES,,,
14-Oct-23,695,G3,VIC,MRC,CAUL,SENET NORTHWOOD PLUME STAKES,"1,200","200,750",4YO&Up,M,SWP,NORTHWOOD PLUME STAKES,,,
14-Oct-23,710,G3,VIC,MRC,CAUL,CATANACH'S JEWELLERS LADIES DAY VASE,"1,600","200,750",4YO&Up,M,SWP,LADIES DAY VASE,,,
14-Oct-23,935,L,VIC,MRC,CAUL,THE BIG SCREEN COMPANY WEEKEND HUSSLER,"1,400","175,500",O,O,HCP,WEEKEND HUSSLER HANDICAP,,,
14-Oct-23,309,L,SA,SAJC,MORP,HILL SMITH STAKES,"1,800","120,000",3-Y-O,O,SW,HILL SMITH STAKES,,,
18-Oct-23,211,G3,VIC,MRC,CAUL,NEDS COONGY CUP,"2,000","200,750",O,O,Hcp,COONGY HANDICAP,,,
18-Oct-23,227,L,VIC,MRC,CAUL,MAGIC MILLIONS DEBUTANT STAKES,"1,000","175,500",2-Y-O,O,SW,DEBUTANT STAKES,,,
21-Oct-23,4,G1,VIC,MRC,CAUL,CARLTON DRAUGHT CAULFIELD CUP,"2,400","5,150,000",O,O,Hcp,CAULFIELD CUP,,,
21-Oct-23,300,G2,VIC,MRC,CAUL,THOUSAND GUINEAS PRELUDE,"1,400","301,000",3-Y-O,F,SWP,TRANQUIL STAR STAKES,,,
21-Oct-23,378,G2,VIC,MRC,CAUL,THE MCCAFE SPRINT,"1,100","301,000",O,O,Hcp,CAULFIELD SPRINT,,,
21-Oct-23,561,G2,VIC,MRC,CAUL,LEXUS TRISTARC STAKES,"1,400","301,000",4YO&Up,M,SWP,TRISTARC STAKES,,,
21-Oct-23,384,G3,VIC,MRC,CAUL,NEDS CLASSIC,"2,000","200,000",3-Y-O,O,SWP,NORMAN ROBINSON STAKES,,,
21-Oct-23,728,G3,VIC,MRC,CAUL,SCHWEPPES ETHEREAL STAKES,"2,000","200,500",3-Y-O,F,SWP,ETHEREAL STAKES,,,
21-Oct-23,581,G3,VIC,MRC,CAUL,NEDS MOONGA STAKES,"1,400","200,750",4YO&Up,O,SWP,MOONGA STAKES,,,
21-Oct-23,354,L,VIC,MRC,CAUL,STOWE STORAGE GOTHIC STAKES,"1,200","175,500",3-Y-O,O,SWP,GOTHIC STAKES,,,
21-Oct-23,937,L,VIC,MRC,CAUL,CARLTON DRAUGHT ALINGHI STAKES,"1,100","175,500",3YO&Up,F&M,Hcp,ALINGHI STAKES,,,
21-Oct-23,108,G3,WA,WATC,ASCT,EURYTHMIC STAKES,"1,400","200,000",3YO&Up,O,SWP,NORTHERLY STKS,,,
21-Oct-23,565,L,WA,WATC,ASCT,R.S. CRAWFORD STAKES,"1,000","125,000",3YO&Up,O,SWP,R.S. CRAWFORD STKS,,,
22-Oct-23,594,L,VIC,SEYMOUR RC,SEYM,SEYMOUR CUP,"1,600","200,000",O,O,Hcp,SEYMOUR CUP,,,
25-Oct-23,275,G3,VIC,GEELONG RC,GEEL,BET365 GEELONG CUP,"2,400","500,000",O,O,Hcp,GEELONG CUP,,,
25-Oct-23,231,L,VIC,GEELONG RC,GEEL,RODERICK INSURANCE BROKERS GEELONG CLASSIC,"2,200","200,000",3-Y-O,O,SWP,DERBY TRIAL STAKES,,,
27-Oct-23,368,G2,VIC,MVRC,THE VALLEY,MOONEE VALLEY GOLD CUP,"2,500","761,300",4YO&Up,O,SWP,MOONEE VALLEY GOLD CUP,,,
27-Oct-23,641,G3,VIC,MVRC,THE VALLEY,JRA CUP,"2,040","201,500",O,O,Qlty,JRA CUP,,,
27-Oct-23,934,L,VIC,MVRC,THE VALLEY,CHAUTAUQUA STAKES,"1,200","176,000",O,O,HCP,CHAUTAUQUA STAKES,,,
28-Oct-23,23,G1,NSW,ATC,RAND,SPRING CHAMPION STAKES,"2,000","2,000,000",3-Y-O,O,SW,SPRING CHAMPION STAKES,,,
28-Oct-23,216,G3,NSW,ATC,RAND,CRAVEN PLATE,"1,800","750,000",3YO&Up,O,WFA,CRAVEN PLATE,,,
28-Oct-23,462,L,NSW,ATC,RAND,BRIAN CROWLEY STAKES,"1,200","200,000",3-Y-O,O,SWP,BRIAN CROWLEY STAKES,,,
28-Oct-23,479,G2,NSW,ATC,RAND,CALLANDER-PRESNELL,"1,600","1,000,000",3-Y-O,O,SW,STAN FOX STAKES,,,
28-Oct-23,343,G1,VIC,MVRC,THE VALLEY,LADBROKES MANIKATO STAKES,"1,200","2,015,000",O,O,WFA,MANIKATO STAKES,,,
28-Oct-23,2,G1,VIC,MVRC,THE VALLEY,LADBROKES COX PLATE,"2,040","5,050,000",3YO&Up,O,WFA,W S COX PLATE,,,
28-Oct-23,304,G2,VIC,MVRC,THE VALLEY,DRUMMOND GOLF VASE,"2,040","408,000",3-Y-O,O,SW,MV VASE,,,
28-Oct-23,536,G2,VIC,MVRC,THE VALLEY,MCCAFE CRYSTAL MILE,"1,600","300,000",O,O,WFA,CRYSTAL MILE,,,
28-Oct-23,648,G2,VIC,MVRC,THE VALLEY,3 POINT MOTORS FILLIES CLASSIC,"1,600","302,500",3-Y-O,F,SW,MOONEE VALLEY FILLIES CLASSIC,,,
28-Oct-23,425,G3,VIC,MVRC,THE VALLEY,SHARP EIT RED ANCHOR STAKES,"1,200","202,500",3-Y-O,O,SWP,RED ANCHOR STAKES,,,
28-Oct-23,587,G3,VIC,MVRC,THE VALLEY,POWERFLO SOLUTIONS TESIO STAKES,"1,600","202,000",4YO&Up,M,Hcp,TESIO STAKES,,,
28-Oct-23,586,L,VIC,MVRC,THE VALLEY,PFD FOOD SERVICES CROCKETT STAKES,"1,200","177,500",3-Y-O,F,SWP,WILLIAM CROCKET STAKES,,,
28-Oct-23,939,LR,VIC,MVRC,THE VALLEY,INGLIS BANNER,"1,000","502,000",2-Y-O,O,SW,INGLIS BANNER,,,
28-Oct-23,133,L,WA,WATC,ASCT,BELGRAVIA STAKES,"1,200","125,000",3-Y-O,O,SWP,BELGRAVIA STKS,,,
29-Oct-23,733,L,WA,NORTHAM RC,NTHM,NORTHAM CUP,"1,600","150,000",3YO&Up,O,Qlty,NORTHAM CUP,,,
29-Oct-23,758,L,VIC,SALE TC,SALE,SALE CUP,"1,600","200,000",O,O,Hcp,SALE CUP,,,
1-Nov-23,141,G3,VIC,BJC,BEND,BENDIGO CUP,"2,400","500,000",O,O,Hcp,BENDIGO CUP,,,
4-Nov-23,508,L,SA,SAJC,MORPP,JOHN LETTS CUP,"1,800","120,000",O,O,SWP,TOKYO CITY CUP,,,
4-Nov-23,560,G1,VIC,VRC,FLEM,EMPIRE ROSE STAKES,"1,600","1,005,325",3YO&Up,F&M,WFA,EMPIRE ROSE STAKES,,,
4-Nov-23,6,G1,VIC,VRC,FLEM,VICTORIA DERBY,"2,500","2,170,325",3-Y-O,O,SW,VICTORIA DERBY,,,
4-Nov-23,117,G1,VIC,VRC,FLEM,COOLMORE STUD STAKES,"1,200","2,005,325",3-Y-O,O,SW,ASCOT VALE STAKES,,,
4-Nov-23,334,G2,VIC,VRC,FLEM,LINLITHGOW STAKES,"1,400","504,425",O,O,HCP,LINLITHGOW STAKES,,,
4-Nov-23,531,G2,VIC,VRC,FLEM,WAKEFUL STAKES,"2,000","304,425",3-Y-O,F,SWP,WAKEFUL STAKES,,,
4-Nov-23,222,G3,VIC,VRC,FLEM,ARCHER STAKES,"2,500","303,025",O,O,Qlty,HOTHAM HANDICAP,,,
4-Nov-23,722,G3,VIC,VRC,FLEM,BEGONIA BELLE STAKES,"1,100","203,025",O,M,SWP,BEGONIA BELLE STAKES,,,
4-Nov-23,168,G3,VIC,VRC,FLEM,CARBINE CLUB STAKES,"1,600","503,025",3-Y-O,O,SWP,VRC CARBINE CLUB STAKES,,,
4-Nov-23,290,G3,VIC,VRC,FLEM,RISING FAST STAKES,"1,200","203,025",O,O,Hcp,CHATHAM STAKES,,,
4-Nov-23,135,G3,WA,WATC,ASCT,ASIAN BEAU STAKES,"1,400","200,000",3YO&Up,O,Hcp,ASIAN BEAU STKS,,,
4-Nov-23,409,G3,WA,WATC,ASCT,PRINCE OF WALES STAKES,"1,000","200,000",3YO&Up,O,WFA,PRINCE OF WALES STKS,,,
7-Nov-23,1,G1,VIC,VRC,FLEM,MELBOURNE CUP,"3,200","8,075,000",O,O,Hcp,MELBOURNE CUP,,,
7-Nov-23,696,G3,VIC,VRC,FLEM,HKJC STAKES,"1,400","203,025",4YO&Up,M,SWP,MAYBE MAHAL STAKES,,,
7-Nov-23,345,G3,VIC,VRC,FLEM,MARIBYRNONG PLATE,"1,000","203,025",2-Y-O,O,SW,MARIBYRNONG PLATE,,,
7-Nov-23,293,L,VIC,VRC,FLEM,MELBOURNE CUP DAY PLATE,"1,800","176,725",O,O,Hcp,MELBOURNE CUP DAY PLATE,,,
7-Nov-23,252,L,VIC,VRC,FLEM,TAB TROPHY STAKES,"1,800","176,925",3-Y-O,O,Hcp,BATMAN STAKES,,,
7-Nov-23,491,L,VIC,VRC,FLEM,DESIRABLE STAKES,"1,400","175,000",3-Y-O,F,SWP,DESIRABLE STAKES,,,
7-Nov-23,158,L,WA,WATC,ASCT,BURGESS QUEEN STAKES,"1,400","125,000",3-Y-O,F,SWP,BURGESS QUEEN STKS,,,
9-Nov-23,673,L,NSW,HAWKESBURY RC,HAWK,LADIES DAY CUP,"1,600","200,000",O,O,Hcp,SAFILO CUP,,,
9-Nov-23,19,G1,VIC,VRC,FLEM,VRC OAKS,"2,500","1,010,325",3-Y-O,F,SW,VRC OAKS,,,
9-Nov-23,159,G3,VIC,VRC,FLEM,OTTAWA STAKES,"1,000","203,025",2-Y-O,F,SW,OTTAWA STAKES,,,
